Dossier,Guideline,PDF link,type of study,442C/MIE_reactivity class,442C/MIE_Mean of depletion (cystine/lysine) (%),442C/MIE_Mean of depletion (cystine) (%),442C/MIE_description of relevant observations related to the analysis,442C/MIE_homogeneity,442C/MIE_pH,442C/MIE_molecular weight,442C/MIE_composition,442C/MIE_purity (%),442C/MIE_solubility in vehicle,442C/MIE_solubility in water,442C/MIE_treatment prior to application,442C/MIE_chemical batch nr,442C/MIE_additional information,442C/MIE_deviations from guideline ,442C/MIE_HPLC analysis <30h,442C/MIE_type of HPLC,442C/MIE_columns,column temperature,detector,injection volumes,442C/MIE_flow rate,gradient,442C/MIE_concentrations tested,442C/MIE_purity,442C/MIE_supplier ,lot,442C/MIE_peptide concentration,442C/MIE_year,442C/MIE_GLP,442C/MIE_SCCS comment to test,442C/MIE_Ref. in dossier,442C/MIE_control,442C/MIE_storage condition,442C/MIE_additional information,442C/MIE_own comments,442D_max average luciferase activity (maximal induction),442D_mean cell viability /concentration,442D_EC 1.5 concentration,442D_IC50 cell viability concentration,442D_IC30 cell viability concentration,442D_conc. for maximal gene induction (CI max ),prediction outcome,442D_homogeneity,442D_pH,442D_concentration (%),442D_composition,442D_purity (%),442D_solubility in solvent,442D_chemical batch nr,additional info (free text),442D_deviation from guideline,442D_type,442D_medium,442D_cell passage number,442D_confluence,442D_cell density/well (96) fixed at 10000cells/well,442D_deviation from guideline,442D_lusens_type,442D_lusens_medium,442D_cell passage number,442D_confluence,442D_cell density/well (96) fixed at 10000cells/well,,442D_concentration ,442D_solvent,442D_luminometer,442D_duration of exposure (h),442D_Year,442D_GLP,442D_SCCS comment to test,442D_Ref. in dossier,442D_controls,442D_additional information,442D_own comments,442E_mean cell viability /concentration,442E_C75 value,442E_relative flurecent intensity (CD54),442E_relative flurecent intensity (CD86),442E_predicion outcome,442E_mean cell viability /concentration,442E_C70 value,EC150 CD86 stimulation index,442E_predicion outcome,442E_GAPLA,442E_IL8LA,442E_nIL8LA/GAPLA,442E_Ind-IL8LA,442E_Inh-GAPLA,442E_CV05,442E_predicion outcome,442E_homogeneity,442E_pH,concentration (%),442E_composition,442E_purity (%),442E_solubility in solvent,chemical batch nr,442E_additional info (free text),442E_deviation from guideline,442E_source,medium,442E_cell passage number,442E_cell density/well (24),442E_cell density/well (96),442E_deviation from guideline,442E_type,442E_medium,442E_cell passage number,442E_confluence,442E_cell density/well (96),442E_deviation from guideline,442E_type,medium,442E_cell passage number,442E_confluence,442E_cell density/well (96),442E_concentration,442E_solvent,442E_antibody,flow cytometer,442E_duration of exposure (h),442E_Year,442E_GLP,442E_SCCS comment to test,442E_Ref. in dossier,442E_additional information,442E_own comments,429_442A_442B_observations and recording of toxicity,429_442A_442B_stimulation index (SI),429_442A_442B_ATP measurments,429_442A_442B_relative luminecence units (RLU),429_442A_442B_BrdI labelling index,429_442A_442B_erythema scores,429_442A_442B_ear thickness,429_442A_442B_conclusion,429_442A_442B_homogeneity,429_442A_442B_pH,429_442A_442B_physical form,429_442A_442B_concentration (%),429_442A_442B_composition,429_442A_442B_purity (%),429_442A_442B_solubility in vehicle,429_442A_442B_chemical batch nr,429_442A_442B_additional info,429_442A_442B_species/strain,429_442A_442B_source,429_442A_442B_age at start of experiment,429_442A_442B_sex,429_442A_442B_feed,429_442A_442B_n animals / group,429_442A_442B_deviation from guideline,429_442A_442B_dose levels,429_442A_442B_volume,429_442A_442B_administration scheme,429_442A_442B_vehicle,429_442A_442B_year,429_442A_442B_GLP,429_442A_442B_SCCS comment to test,429_442A_442B_Ref. in dossier,429_442A_442B_control group,429_442A_442B_preliminary test,429_442A_442B_additional information,429_442A_442B_own comments,406_histopathological observations,406_first grading,406_second grading,rechallenge grading ,406_conclusion,406_outcome of test,406_homogeneity,406_pH,406_concentration (%),406_composition,406_purity (%),406_solubility in vehicle,406_chemical batch nr,406_additional info,406_species/strain,406_source,age at start of experiment,406_sex,406_feed,406_n animals / group,deviation from guideline,406_dose levels,intradermal injections,406_injection vehicle,406_patch site preparation,406_filter paper material and size,406_vehicle,,406_year,406_GLP,406_SCCS comment to test,406_Ref. in dossier,406_control group,406_preliminary study,406_additional information,406_own comments,non_oecd_histopathological observations,non_oecd_first grading,non_oecd_second grading,non_oecd_rechallenge grading ,non_oecd_conclusion,non_oecd_outcome of test,non_oecd_homogeneity,non_oecd_pH,non_oecd_concentration (%),non_oecd_composition,non_oecd_purity (%),non_oecd_solubility in vehicle,non_oecd_chemical batch nr,non_oecd_additional info,non_oecd_species/strain,non_oecd_source,non_oecd_age at start of experiment,non_oecd_sex,non_oecd_feed,non_oecd_n animals / group,non_oecd_deviation from guideline,non_oecd_dose levels,non_oecd_intradermal injections,non_oecd_injection vehicle,non_oecd_patch site preparation,non_oecd_filter paper material and size,non_oecd_vechicle,non_oecd_duration of application,non_oecd_application area,non_oecd_volume,non_oecd_occlusion,non_oecd_testing procedure,non_oecd_scoring times,non_oecd_additional info,non_oecd_induction of local irriation,non_oecd_year,non_oecd_GLP,non_oecd_SCCS comment to test,non_oecd_control,non_oecd_Ref. in dossier,non_oecd_additional information,non_oecd_own comments,,,,,,,,,,,,,
hc yellow n° 17 (b121),OECD 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_186.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mild local irritation was observed using the highest concentrations of hc yellow no.17. SI’s higher than 3 were observed for the test concentrations at and above 1 (4.3 for 1% to 19.7 for 50%) suggesting a high sensitising potency. because an EC3 could not be calculated, the second experiment with lower concentrations of hc yellow no.17 was conducted. based on the calculated EC value of 0.7% once solutions of 2,5%, 1%, 0,5%, 0,25% and 0,1% w/v were used, it was concluded that hc yellow no.17 has sensitising potential. the validity criteria were fulfilled in both. SI values of 9.1 and 6.1 were obtained with the positive control HCA in the first and second experiments, respectively. the lymphoproliferative responses were observed at all concentrations tested in the first experiment. it was attributed to delayed contact hypersensitivity in the absence of excessive local irritation",,,,,,,"under the conditions of this study, hc yellow no. 17 induced delayed contact hypersensitivity. according to the calculated EC3 value (0.7%), hcd yellow no. 17 was considered to have a sensitising potential.",,,,"1, 5, 10, 25 and 50% (w/v) in dimethylformamide (DMF)",,"relative purity 93.7% at 265 nm, 95.5% at 428 nm",the test concentrations were selected according to a previous study of solubility showing 50% as the maximum concentration of hc yellow no.17 possible when using dmf as vehicle.,E212289 BCF-52281/5,test substance: hc yellow no 17. ,mice/cba/jrj,,,f,,64,,"first experiment, the item solution was tested at concentrations of 50%, 25%, 10%, 5% and 1% w/v. second experiment : 2,5%, 1%, 0,5%, 0,25% and 0,1% w/v. ",,three consecutive days,the vehicle (dmf) alone and the relevant vehicle for hca (aoo) ,2012,yes,"under the conditions used in this study, hc yellow no. 17 is considered as a strong sensitiser capable of inducing delayed contact hypersensitivity. ",4,,,"positive control: hca at 25% (v/v) in a mixture acetone/olive oil (4/1, v/v), thereafter designated as aoo. local lymph node assay. in order to evaluate the skin sensitisation potential of the item e212289, two consecutive studies based on the local lymph node assay were conducted. the difference between the studies was the concentrations of the item solutions that were assessed. two studies were necessary to get conclusive results of the sensitisation potential of hc yellow no. 17. in both studies cba/ female mice were used. both ears were treated with hc yellow no.17 at different concentrations diluted in n,n-dimethylformamide (dmf). in the first experiment, the item solution was tested at concentrations of 50%, 25%, 10%, 5% and 1% w/v. these concentrations were selected according to a previous study of solubility showing 50% as the maximum concentration of hc yellow no.17 possible when using dmf as vehicle. the concentrations of the solutions tested in the second experiment were 2,5%, 1%, 0,5%, 0,25% and 0,1% w/v. the solutions were applied for three consecutive days. alpha-hexylcinnamaldehyde was used as positive control.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc yellow n° 13,OECD 406,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_044.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non-sensitising,"sporadic, slight erythema was observed in both test and control animals at comparable incidence",,,,,99.7,,ar 902,test substance: fluorgelb II,guinea pigs/pirbright bor:dhpw,,,f & m,,20,,0.2g of pure and 0.2ml of a 5% solution in vehicle,,,"challenge 3 weeks after the first intradermal treatment,  topically applied to the left flank for 24 hours",occlusive patch,propylene glycol,"yes, the systemic induction phase consisted of 3 pairs of 2 intradermal injections (0.1 ml each) on the clipped dorsal shoulder region of the animals. the injections contained: 1) the test material (10%) in propylene glycol; 2) the test material (10%) in freund’s complete adjuvant, 1:2 diluted; 3) freund’s complete adjuvant in distilled water (1:1). 7 days later the pure test material was topically applied and occluded for 48 hours. the controls received similar treatments but received vehicle (without test substance) only",1989,yes,"this study was not fully in compliance with oecd guideline 406, which specifies that, when testing a non-irritating material, local irritation should be induced 24 hours before the topical induction. the sensitisation data in the dossier was generated without inducing irritation during induction",21,,,reactions were recorded at 24 and 48 hours after the last application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc red n° 7,OECD 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_007.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the EC3 for hc red nº 7 is equal to 1.2% ,"1.83, 2.54, 6.02, 3.19, 3.90, 11.98 at respectively 0.5, 1, 2.5, 5, 10% and pos. control",,,,,,moderate skin sensitizer,,,,,,99.3,10% of test substance is the maximum practicable concentration due to limited,510149,,mouse/cba/j (nulliparous and non-pregnant),,,f,,4,,"0, 0.5, 1, 2.5, 5 and 10%",,,"acetone:olive oil (4:1, v/v)",2004,yes,"according to the classification scheme applied by the SCCS (SCCP/0919/05), the substance is a strong sensitizer",4,,,positive control: α-hexylcinnamaldehyde (25%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,solubility. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydroxypropyl bis(n-hydroxyethyl-p-phenylenediamine) HCl,OECD 406,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_011.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the test material is considered to have a strong sensitization potential when administered to skin of guinea-pigs. ,"in the treated group, very slight, well-defined and marked erythema (grades 1 to 3) and slight (grade 2 in 11 animals) and severe (grade 4 in 1 animal) oedema were observed at 24 hours. at 48 hours very slight to marked erythema (grades 1 to 4) and slight to severe oedema were observed. the cutaneous reactions in 90% of the animals were attributable to the sensitization potential of the test substance at a concentration of 50% (w/w).",,,,,99.8,,pil 4x,"test substance: imexine oax, in isotonic aqueous NaCl solution ",guinea pig / dunkin hartley,,,f&m,,control group: 10. treated group: 20,,first challenge: topical application: at 50% (w/w) ,"following intradermal injections of freund´s complete adjuvant with or without the test substance (day 1) and topical application of sodium laurylsulfate (10% at day 7) the dorsal region of the animals was treated with the test substance or vehicle (day 8) and was covered by an occlusive dressing for 48 hours. the vehicle used was sterile isotonic saline solution (0.9% NaCl). after further 12 days, all animals were challenged by a topical application of the test substance to the right flank for 24 hours (occlusive dressing); the left flank served as control.",with or without the test substance (day 1) ,"first challenge on day 8 on the dorsal region, after further 12 days all animals were challenged by a topical application of the test substance to the right flank for 24h under occlusive dressing ",occlusive dressing ,sterile isotonic saline solution (0.9% NaCl),"yes, intradermal injections of freund´s complete adjuvant with or without the test substance (day 1) and topical application of sodium laurylsulfate (10% at day 7) the dorsal region",,yes (statement included),,12,,,"guinea pig maximisation test, skin reactions were evaluated at 24 and 48 hours later. dose: induction: intradermal injections: at 1% (w/w), topical application: at 50% (w/w),first challenge: topical application: at 50% (w/w) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basic red 51,OECD 406,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_067.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not a sensitizer under the test conditions,none of the animals of the control or test group were observed with skin reactions after challenge with a non-irritating preparation of 25% of the test material.,,,25%,aqueous dilution,>98,,cgf-f016740/0018,test substance: mip 2985,guinea pig/ albino,,,f,,"15(10 test, 5 control)",,challenge: a 25% aqueous dilution,,,,under occlusion for 24h,aqua,"yes, intradermal induction: a 5% aqueous solution with and without freund’s complete adjuvant.topical induction: a 50% preparation of test material under occlusion for 48 hours",,yes,,8,,,"animals were examined 24 and 48 hours after removal of the patches for signs of erythema and oedema.  challenge: 14 days after topical induction by exposing 25% aqueous dilution of the test substance (24 hours, occlusion),  controls received vehicle only. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,5-naphthalenediol",OECD 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_033.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EC3 value of 3.4% was calculated, based on data from the two experiments.","experiment 1: 18.4, 16.7, 6.1; experiment 1: 1.4, 2.5, 2.8 ",,,,,,moderate skin sensitiser,,,,,,99.9,,820211/01,"test substance: a018 / sat 030627 (1,5-naphthalenediol) ",mouse/cba/j,,,f,,5,,"experiment 1: 25 µl of a018 at 5, 25 and 50% n vehicle ; experiment 2: 25 µl of a018 at 0.25, 1.0 and 2.5% in vehicle",,"daily, for 3 consecutive days",acetone/olive oil (4:1 v/v),,yes,,7,,,"positive control: alpha-hexylcinnamaldehyde. during the induction phase, test item was applied over the dorsal surface of each ear (25 µl per ear) for 3 consecutive days (days 1, 2, 3). on day 6, each animal was administered with radio-labelled thymidine (3 HTdR) by intravenous injection. after 5 hours, animals were euthanized and the draining lymph nodes were excised and pooled to prepare single cell suspension for each animal. 3 HTdR incorporation was measured by scintillation counting. proliferative response of lymph node cells was expressed as the ratio of 3 HTdR incorporation into lymph node cells of treated animals relative to that recorded in control animals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-hexyl 4,5-diamino pyrazole sulfate",OECD 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_181.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"none of the animals died during the study, bodyweights were not altered and all animals appeared clinically normal throughout the study. some orange staining on the ears and on the fur occurred, which was considered to be related to the staining properties of 4,5-diamino-1-hexyl-1H-pyrazole dihydrochloride. no treatment-related effects on bodyweight or bodyweight gain. 4,5-diamino-1-hexyl-1H-pyrazole dihydrochloride was positive in the llna, as there was a statistically significant increase in isotope incorporation in the draining auricular lymph nodes relative to the vehicle at 10% and 15%, which were greater than a 3-fold increase","0.7, 1.0, 3.5 and 3.1 at the concentrations of 1%, 3%, 10% and 15%, respectively",,,,,,"4,5-diamino-1-hexyl-1H-pyrazole dihydrochloride is a moderate skin sensitiser under the defined experimental conditions, with a calculated EC3 value of 8.6%. calculation for the hemisulfate salt of 1-hexyl-1H-pyrazole-4,5-diamine: the EC3 value of the hemisulphate salt was calculated from the dihydrochloride salt by using the conversion factor of 0.91 to account for the different molecular weight (see reference 20). EC3 value dihydrochloride: 8.6% 8.6% = 8.6 g/100 mL x 0.91 (conversion factor) = 7.8 g /100 mL = 7.8% EC3 value hemisulfate: 7.8%. therefore, the calculated EC3 value for 1-hexyl-1H-pyrazole-4,5-diamine hemisulfate is 7.8%. based on this calculation, 1-hexyl-1H-pyrazole-4,5-diamine hemisulfate is considered a moderate skin sensitiser according to the relative skin sensitisation potency classification scheme published in the ECETOC technical report on contact sensitisation (see reference 19).",,,,"0, 1, 3, 10, 15%",,"99.7 % (HPLC, 210 nm); 99.8% (HPLC 224 nm); 100.0 % (HPLC 254 nm)","ethanol was selected as the vehicle because of the good solubility of 4,5-diamino-1-hexyl-1Hpyrazole dihydrochloride in this solvent. ",dtf654/074a-hay,"test substance: 4,5-diamino-1-hexyl-1H-pyrazole dihydrochloride (wr804026)",mouse/cba/j,,,f,,5/dose,"volume of 25 μl by topial application was applied to the surface of the ear animals were checked for morbidity/mortality daily on days 1 to 6. observations for clinical signs were carried out immediately prior to and post-dose on days 1 to 3 and then once per day after dosing. bodyweight was measured on days 1 and 6. at day 6, the mice received an intravenous injection of 250 μl solution containing 20 μCi of[3H]-methyl thymidine. Five hours later, the mice were euthanised, and the draining auricular lymph nodes were removed and collected in PBS. After preparing a single cell suspension for each mouse, cells were precipitated by 5% trichloro-acetic acid, and the radioactivity was determined (incorporation of [3H] methyl thymidine in the pellets) by means of liquid scintillation counting as disintegration per minute (dpm). ",,,daily for three consecutive days,70% ethanol,2009,yes,"the llna was performed with 1-hexyl-1H-pyrazole-4,5-diamine dihydrochloride, i.e. the dihydrochlorde instead of the hemisulfate salt. 1-hexyl-1H-pyrazole-4,5-diamine dihydrochloride was positive in the llna with an EC3 value of 8.6%. the sensitising potential and potency are attributable to the free base component. therefore, the results of the llna carried out with the dihydrochloride salt can be used for the hazard assessment of 1-hexyl 4,5-diamine pyrazole sulfate. the EC3 value of the hemisulfate salt was calculated from the dihydrochloride salt by using the conversion factor of 0.91 to account for the different molecular weights. therefore, the calculated EC3 value for 1-hexyl 4,5-diamine pyrazole sulfate is 7.8%. based on the calculated EC3 value of 7.8%, 1-hexyl 4,5-diamine pyrazole sulfate is a moderate skin sensitiser.",18,"positive control: 35% (v/v) hca in acetone/olive oil 4:1 (aoo). positive control, hca, at a concentration of 35.0% in acetone: olive oil, induced a 10.6-fold increase in isotope incorporation in the draining auricular lymph nodes relative to the vehicle control. mean stimulation index above 3 validated the experimental conditions. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,3,5-triazine, 2,4,6-tris[1,1’-biphenyl]-4-yl-",OECD 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_070.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no cutaneous reactions and no increase in ear thickness were observed in the animals of the treated groups. a positive lymphoproliferative response (SI >3) was noted at the concentration of 0.5%. however, as no positive response and no dose-response relationship were observed at the highest tested concentrations, this positive response could not be considered as biologically relevant. it is concluded that under these experimental conditions, the test item fat 65’080/a does not induce delayed contact hypersensitivity in the murine local lymph node assay.",,,,,,,,,,,"0.5, 1.0, 2.5, 5.0 or 10%",,>98,,eth50/129b,test substance: fat 65’080/a,mouse/cbj/a,,±8 weeks,f,,4,"test item was applied to the dorsum of both ears daily for 3 consecutive days followed by 2 days without treatment. on days 1, 2 and 3 as well as on day 6 (after sacrifice), thickness of the left ear of each animal of the vehicle and treated groups was measured using a micrometer. any irritation reaction (erythema and oedema) was recorded in parallel. preparation procedure: termination: on day 6, the mice were injected intravenously with 3H-TdR, and five hours later the mice were sacrificed, and the auricular lymph nodes were excised. isolation lymph nodes: excised and pooled for each experimental group by mechanical disaggregation in petri dishes with the plunger of a syringe. cell suspensions were washed with 15 mL of 0.9% NaCl, pellets resuspended in 0.9% NaCl for numeration of lymphocytes and determination of viability. centrifuged and precipitated with 5% tca (+4 °C) overnight. centrifuged and precipitated with 5% tca, addition of 3 mL Ultima GoldxR scintillation fluid (packard). ",25µl,,,propylene glycol (due to unsatisfactory solubility of the test item in acetone/olive oil and in dimethylformamide),,yes,,6 (subm 1),positive control: 25% α-hexacinnamaldehyde,,"this study was based on the design adopted by iccvam (interagency coordination committee on the validation of alternative methods, iccvam 1999) and ecetoc (technical report no. 78 skin sensitization testing: methodological considerations, brussels, december 1999), with the addition of the evaluation of local irritation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-hydroxyethyl-4,5-diamino pyrazole sulfate","directive 92/69/EEC, method B.6.",https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_079.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"based on the sensitization rate of 100%, the test compound is an extremely potent contact allergen","no animal of the negative control group showed any reaction to the test compound, neither at visual nor at histopathological examination. a positive response was observed in all animals of the test group at 24 and 48 h. histopathological examination revealed hyperand parakeratosis, vesicle formation, lymphohistiocytic infiltration among other skin reactions",,,,,> 99,,4-20079,test substance: da 010894,"guinea pig/hartley, crl:(ha)br",,,f,,10,,"injection induction 1%, topical induction 40%, challenge: 40%",,,"the day before epicutaneous induction application, 0.6g of 10% sodium lauryl sulphate in petrolatum had been applied",,,24h,,,occluded,"after a two weeks treatment-free reaction period after inductions, sensitisation reactions were challenged in the test as well as in the negative control group by dermal administration of 40% test substance in white petrolatum (w/w) on one side and the vehicle alone on the contralateral flank, applied under occlusive dressing for 24.",24 and 48h,,"yes, single intradermal injections of complete freund's adjuvans/saline mixture 1:1 (v/v), 1% of the test substance in physiological saline and with 1% of the test substance in the adjuvant/saline mixture (w/v). during the second week of induction, the test substance, suspended in white petrolatum (40% w/w; 0.6 g of preparation) and dermally applied under occlusive dressing for 48 h to the area (2 x 4 cm) of the intradermal injections. ",,yes,,,21,"5 (control group), the negative control group was treated with the adjuvant and the vehicle at the intradermal iduction inhection (physiological saline). the negative control group was treated with the vehicle alone during the topical induction.",,,,,,,,,,,,,,
"1-hydroxyethyl-4,5-diamino pyrazole sulfate",OECD 406,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_079.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no sensitising potential when applied epicutaneously at a concentration of 40%,no positive response was observed in any animal of the test group. positive responses were noted in all 5 animals of the positive control group after 24 and/or 48h,,,40%,,99.8,,4-20079,test substance: da010894 ,"guinea pig/hartley, crl:(ha)br",,,f,,20,,40%,,,clipped skin,occlusive dressing on day 28 for 6h ,white petrolatum,"yes, a 40% formulation of the test compound in white petrolatum was prepared and applied to the clipped skin under occlusive dressing on days 0, 7 and 14 (induction phase) for 6h each time.",,yes,,22,,,"10 (control group), a positive control group, consisting of 5 female guinea pigs, was treated with 10% pphenylenediamine in white petrolatum. a corresponding negative control group (5 female animals) was treated with white petrolatum alone. 24 and 48 h after removal of the patches the skin reactions were scored. all animals were observed daily for signs of systemic toxicity. body weights were recorded on days 0 and 30.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
