dossier ,guideline ,PDF link ,method of analysis/ method of detection,observations,moribound animal,corrosivity,"grading of lesion,  irritation response scores ( IVIS, ICE class, irritation index)",cell viability,optical density,IL-1α concentration,systemic effects,"corneal swelling, opacity and fluorescein retention",opacity and permeability,membrane barrier penetration,skin impedance TER,dye binding assay data,results,conclusion,homogeneity and stability ,pH,physical form ,"treatment(grinding, wetting )",particle size,concentration (%),composition,purity (%),direct interaction with MTT,coloring of tissue,solubility in vehicle,chemical batch nr,additional info,0,species/strain,source,age at start of experiment,"age measuring unit (day, week, month, year)",sex,weight,"weight measuring unit (gram, kilogram)",feed,n animals / group,test system,"test system details ( source, stored prior to use, wetting, treatment, strain, pre-, age at sacrifice)",replicates /condition,cell design,receptor fluid,viability,barrier function,morphology,quality control,calibration,proficiency,TER measurement,"measuring system ( uplc/hplc-spectrophotometer,….)",age at sacrifice,in silico,dose level,unity ( or extra information),dose volume (mL),administration / application scheme,route of exposure,use of anaesthesic/analgesic,"patch system ( open, semi-occluded, occluded)",skin condition,exposed area (cm2),exposure time/ time point ,"exposure unity (seconde,,minute,hour, day) and extra information ",observation period (day),scoreing times/sampling franctions,application scheme,treatment period,treatment period time unity ,temperature during treatment period(°C),humidity,temperature during post-treatment(°C),post treatment incubation time,post treatment incubation medium,rinsing ,vehicle name ,vehicle concentration %,procedure,additional info,year,GLP,SCCS comment to test,Ref. in dossier,preliminary study ,Klimisch score,control groups,additional information,own comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydroxyethoxyphenyl butanone ,OECD 437,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_225.pdf,,detachment of the epithelium and oedema were observed. ,,,the mean ivis : 13.9 ± 0.6 ,,,,,,,,,,,hepb is not classified as corrosive or as a severe eye irritant.,,5.5,liquid (suspension),,,20,,95.9 ± 0.5%,,,,r0069279a 019 d 004,test substance: r0069279a,in vitro,,,,,,,,,,isolated bovine eyes,from cattle less than 12 months old. they were collected at slaughterhouses and prepared within 4 hours of collection.,3,,,,, eyes that were too big or were presenting defects were rejected. ,,the pre-incubation and equilibration period of the corneas of at least 1hour at 32 ± 1 C. ,,,,12 months old,,,,0.075,,,,,,,,,,,,4 ± 10 ,h ± min,,,,,,,poly ethylene glycol ,,"at the end of the contact period, corneas were rinsed and prepared to measure opacity (changes in light transmission) and permeability (evaluation of transfer of 5 mg/ml fluorescein through the cornea by measuring the optical density at 490 nm of the media in the ocular posterior compartment)",,2012,yes,"the sccs notes that the permeability (OD) values of the vehicle control are much higher (20-fold) than for the negative control, suggesting that the vehicle polyethylene glycol itself might have an adverse effect on the test system. therefore, the results of the bcop assay are inconclusive. an appropriate vehicle should be used for which it can be demonstrated that it has no adverse effect on the test system.",2,,,"positive control: 20% (w/w) imidazole in NaCl 0.9%, negative control: NaCl 0.9% in sterile water. the mean IVIS for the vehicle polyethylene glycol and the positive controls were 6.7 ± 0.7 and 182.1 ± 2.7, respectively. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydroxyethoxyphenyl butanone ,OECD 437,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_225.pdf,,,,,the ivis scores obtained for 30-min contact time was: 4.7 ± 0.6  and the ivis scores obtained for 4-hour contact time was: 5.9 ± 0.1 ,,,,,,,,,,,hepb has at most a slight ocular irritation potential when tested at 2%,,5.5,liquid (suspension),,,2,,95.9 ± 0.5%,,,,r0069279a 019 d 004,test substance: r0069279a,in vitro,,,,,,,,,,isolated bovine eyes (corneas from cattle less than 12 months old),from cattle less than 12 months old. they were collected at slaughterhouses and prepared within 4 hours of collection. ,3,,,,,eyes that were too big or that had defects were rejected.,,the pre-incubation and equilibration period of the corneas of at least 1hour at 32 ± 1 C. ,,,,12 months old,,,,0.075,,,,,,,,,,,,"30, 4 ","min, h",,,,,,,polyethylene glycol (8 OE),,"at the end of the contact period, corneas were rinsed and prepared to measure opacity (changes in light transmission) and permeability (evaluation of transfer of 5 mg/ml fluorescein through the cornea by measuring the optical density at 490 nm of the media in the ocular posterior compartment)",,2012,yes,"the sccs notes that the permeability (OD) values of the vehicle control are much higher (8-fold for the 4-hour treatment period) than the negative control, suggesting that the vehicle polyethylene glycol itself might have an adverse effect on the test system. therefore, the results of the bcop assay are inconclusive. an appropriate vehicle should be used for which it can be demonstrated that it has no adverse effect on the test system. the sccs further notes that the bcop assay (oecd 437, 2009) is only able to identify severe eye irritants and cannot discriminate between slightly irritant, moderately irritant and severely irritant.",3,,,"positive control: 0.5 % (w/w) cetyl trimethylammonium bromide (CTAB) in distilled water, negative control: nutritive medium. negative, vehicle and positive controls were tested according to the same experimental conditions except that the 4-hour treatment period was not performed on the positive control. the mean ivis was  3.9 ± 0.6 for the vehicle control, and 96.0 ± 2.8 for the positive control, respectively.",guideline: OECD 437 with some deviations. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydroxyethoxyphenyl butanone ,OECD 437,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_225.pdf,,,,,the ivis score obtained for 10-min contact time were: 0.7 ± 0.9,,,,,,,,,,,hepb does not require classification for eye irritation or serious eye damage,,5.8,liquid (suspension),,,0.7,,95.9± 0.5%,,,,r0069279a 019 d 004,test substance: r0069279a,in vitro,,,,,,,,,,isolated bovine eyes ,corneas from cattle 6-8 months old they were collected at slaughterhouses and prepared within 4 hours of collection. ,3,,,,,eyes that were too big or that had defects were rejected.,,the pre-incubation and equilibration period of the corneas of at least 1hour at 32 ± 1 C. ,,,,6-8 months old,,,,0.075,,,,,,,,,,,,10 ± 1,m,,,,,,,propylene glycol (batch no dga17d0318) in distilled water,30,,,2018,yes,"according to sccs, the test substance should have been tested using the protocol for a non-surfactant solid, not a liquid. based on the study conducted, no conclusion can be made on the classification of hepb for eye irritation or serious eye damage.",4,,,"positive control: 10% (w/w) NaOH in sterile water, negative control: 0.9% (w/v) NaCl in sterile water, the mean ivis was 1.0 ± 1.2 for the vehicle control, and 249.6 ± 4.1 for the positive control, respectively.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydroxyethoxyphenyl butanone ,OECD 492,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_225.pdf,,mtt (cell viability was assessed by measuring the optical density of the extracts at 570nm),,,,89.9 ± 3.7% ,,,,,,,,neither the test item nor the vehicle were found to have direct mtt reducing properties or colouring potential.,,"hebp, as well as the vehicle substance propylene glycol, does not require classification for eye irritation or serious eye damage.",,5.8,liquid (suspension),,,0.67,,95.9± 0.5%,negative,negative,,r0069279a 019 d 004,test substance: r0069279a,in vitro,,,,,,,,,,skinethic reconstructed HCE® model,tissues were pre-moistened with 10µl pbs.,3,,,,,,,,,,,,,60,µl/cm2,,,,,,,0.5,,,,,,30 ± 2 ,m,37°C,,,30 ± 2 min,fresh medium,"after incubation time, tissues were rinsed with PBS and extracted in isopropanol overnight.",propylene glycol,,"post-treatment incubated for 30 ± 2 min with fresh medium, blotted on absorbent material and then incubated with mtt solution for another 3 hours ± 15 min. after incubation time, tissues were rinsed with pbs and extracted in isopropanol overnight. cell viability was assessed by measuring the optical density of the extracts at 570nm.",,2018,yes,"based on the newly submitted data, sccs considers that hepb is not irritating to the eye at 0.7% (w/w) in propylene glycol.",5,"preliminary tests were performed to detect the ability of the test item and the vehicle to directly reduce MTT as well as its colouring potential. following the preliminary tests, the eye irritation potential of the test item formulation was assessed in the main test.",,"positive control: methyl acetate, negative control: Ca2+/Mg2+-free phosphate buffered saline (PBS- ). cell viability for the vehicle control, 100 ± 6.7% for the negative control and 22.7 ± 2.8% for the positive control,respectively.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc yellow n°9,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_026.pdf,,"the skin was examined for erythema, eschar, formation and oedema. yellow coloration of the skin caused by the test material was seen at all treated sites, but interference with evaluation of erythema was not reported. erythema was noted in two animals at both intact and abraded sites at the 1 hour observation. no oedema was reported.",,,,,,,,,,,,,, the substance was non-irritant to the skin of the albino rabbit,,,,moistened with 0.5 ml of distilled water,,,,,,,,op 10,test substance: hc yellow n°9,in vivo ,rabbit/new zealand albino,,,,f & m,,,,3,,,,,,,,,,,,,,,,0.5,g,,,dermal,,occlusive , intact and abraded skin,6.25,24,h,,1 and 48 hours after removal of the patches,,,,,,,,,test susbatnce removed by swabbing with cotton wool swabs,,,,,,yes,,3 (subm.1),,,,"2 males and 1 female, as possible irritant effects were anticipated, the dosage form was first evaluated on a single animal. three different durations were investigated: 3 minutes, 1 hour and 4 hours. since the dosage form was not severely irritant on this first animal, it was then applied for 4 hours to two other animals. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc yellow n°9,OECD 404,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_026.pdf,,"after a 3-minute exposure (one animal) a yellow coloration of the skin was noted during the study. after a 1-hour exposure (one animal) a yellow coloration of the skin, which could have masked a well-defined or a discrete erythema, was noted from day 1 up to day 6. after a 4-hour exposure (three animals) a yellow coloration of the skin, which could have masked a well-defined or a discrete erythema, was noted from day 1 up to day 2 or 3 (2/3 animals) and up to the end of the observation period (day 15; 1/3 animals). due to the coloration of the skin, the mean scores over 24, 48 and 72 hours for each animal were not calculable for erythema. no oedema was observed.",,,,,,,,,,,,,,"the yellow coloration of the skin could have masked a possible well-defined erythema. however, based on the coloration obtained and in the absence of other cutaneous reactions, the test substance at 5% is at most moderately irritant to rabbits. ",the test item dosage forms were extemporaneously prepared under nitrogen atmosphere and were stored protected from light.,,,"the test item was prepared as a suspension in the vehicle: the test item was ground to a fine powder, using a mortar and a pestle, and then mixed with the required quantity of vehicle. ",,5,test substance in a 0.5% suspension of methylcellulose in purified water,98.5,,,,510071,test susbtance: hc yellow n°9. ,in vivo ,rabbit/new zealand albino,,,,m,,,,3,,,,,,,,,,,,,,,,,,0.5,,dermal,,"semi-occlusive, the gauze pad was held in contact with the skin by means of an adhesive semi-occlusive dressing and a restraining bandage. ",applied to the anterior and posterior right flank (application for 1 and 4 hours) or the anterior left flank (application for 3 minutes) of the animals. ,,"3, 1, 4","min, h, h ",15,,,,,,,,,,,"suspension of methylcellulose in purified water. before preparation, the vehicle was degassed by sonication for at least 30 minutes",0.5,,,2005,yes,"because of skin staining, some irritant potential of 5% of hc yellow n° 9 cannot be excluded.",2 (subm. 3) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc yellow n°9,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_026.pdf,,"there was a dulling of the normal lustre of the cornea of one animal one hour after treatment. no other corneal effects were reported. irritation of the conjunctivae was apparent in all animals 1 hour after treatment, returning to normal by day 3. inflammation and yellow staining of the iris was reported 1 hour after treatment and persisted in one treated eye for 24 hours. no further effects were reported during the study period only.",,, the maximum irritancy score was 17.7/110.,,,,,,,,,,,the substance was classified as slightly irritant to the rabbit eye.,,,solid,,,,neat test substance,,,,,op10,test substance: hc yellow n°9,in vivo ,rabbit/new zealand albino,,,,,,,,3,,,,,,,,,,,,,,,,,,0.1,"single, applied to the lid of the right eye",ocular,,,,,,,,"1 hour and 1, 2, 3, 4 and 7 days after instillation.",,,,,,,,,no,,,,,,yes,,2 (subm.1),,,the left eye served as control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc yellow n°9,OECD 405,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_026.pdf,,,,,"a very slight chemosis (grade 1; 2/3 animals) and a very slight or slight redness of the conjunctiva (grade 1 or 2; all animals) were observed on days 1 and 2. mean scores calculated for each animal over 24, 48 and 72 hours were 0.0, 0.3 and 0.0 for chemosis, 0.3, 0.0 and 0.0 for redness of the conjunctiva, 0.0, 0.0 and 0.0 for iris lesions and 0.0, 0.0 and 0.0 for corneal opacity.",,,,,,"0.0, 0.0 and 0.0 for corneal opacity.",,,,,hc yellow n° 9 at the concentration of 5% in 0.5% methylcellulose is slightly irritant when administered by ocular route to rabbits.,,,liquid,"the test item was ground to a fine powder, using a mortar and a pestle, and then mixed with the required quantity of vehicle. ",,5,test substance  in a 0.5% suspension of methylcellulose,98.5,,,,510071,test substance: hc yellow n°9,in vivo ,rabbits/new zealand albino,,,,m,,,,3,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,4,"1 hour, 24, 48 and 72 hours after administration of the test item. ",,,,,,,,,no,"suspension of methylcellulose. before preparation, the vehicle was degassed by sonication for at least 30 minutes. ",0.5,,,2005,yes,,3 (subm. 3),,,,"since the dosage form was not severely irritant on this first animal, it was then evaluated on two other animals. the study was ended on day 4 in the absence of persistent ocular reactions. ","in the opinion, a dose volume of 0.5ml in the summary and 0.1 ml in the text is mentioned. with regards to OECD 405 guideline, 0.1ml has been chosen to mention in here.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc yellow n° 2,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_038.pdf,,,,,,,,,,,,,,,no apparent dermal irritation was produced,,,,liquid ( aqueous slurry),,,,,,,,,,test substance: hc yellow n° 2 ,in vivo ,rabbit/new zealand white ,,,,,,,,6,,,,,,,,,,,,,,,,500,mg,,single,dermal,,non-occluded, intact skin of the back,,24,h,3,24 and 72h,,,,,,,,,,water,,,,1987,no,study was not performed according to a guideline and not in compliance with glp.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc yellow n° 2,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_038.pdf,,"experiment 1: elicited conjunctival redness, swelling, and discharge in the eyes of all animals when examined 1 hour post treatment. low grade corneal opacity with ulcerations was noted in 3 of 4 rabbits at day 1; one animal exhibited irritation of the iris. by day 2, most conjunctival effects were reduced or absent and the corneal opacity of 1 rabbit cleared. the single incidence of iritis was also absent. no signs of irritation were apparent in any animal 3 days after test material instillation. overall, the eye rinsed with distilled water after treatment appeared to be less irritated than those not rinsed.experiment 2: elicited slight conjunctival responses in the eyes of all animals (rinsed and unrinsed) when examined 1 hour after instillation. most effects were absent by day 1 and all eyes were clear 2 days after treatment.",,,,,,,,,,,,,,b41 applied directly to the rabbit eye is irritant and diluted at 10% is slightly irritant,,,exp 1: solid; exp 2: liquid,,,100; 10,exp1: neat test substance; exp2: 10% suspension in vehicle ,,,,,,,in vivo ,rabbit/new zealand white ,,,,,,,,4,,,,,,,,,,,,,,,,"0.1, 0.1 ","g neat substance exp 1, ml  of 10% in vehicle exp 2",,"single, exp 1: instilled in the conjunctival sac of the left eye, exp 2: instilled by syringe into the conjunctival sac of the right eye",ocular,,,,,"3 , 20 ","days without rinsing, seconds with rinsing",3,"1 hour and 1, 2 and 3 days",,,,,,,,,"in both studies, the eyes of one-half of the rabbits were rinsed with 20 ml distilled water 20 seconds after treatment.",acacia (experiment 2),3,,,1987,no,"the studies were not performed according to a guideline and not in compliance with glp. submission 3 (2008) contained no new data on eye irritation, only a discussion of the previous tests with the neat and diluted (10% suspension) substance.","3, 4",,,experiment 1:  right eye was untreated; experiment 2: left eye was untreated,two ocular irritation studies were conducted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc yellow n° 17 (b121),OECD 431,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_186.pdf,mtt assay. quantitative sandwich immunoassay ,,,,,85.1%,"570, 450",18.1 ± 7.2 pg/ml.,,,,,,,,"under the conditions of this study, it can be concluded that undiluted hc yellow 17 is non-irritant after dermal application.",,,,,,, test item undiluted,83.50,negative,positive,,bcf52281-lr1,test substance: hc yellow n°17.,in vitro,,,,,,,,,,Episkin small model human,3 different tissue batches,3,,,,,,,,,,,,,10,mg,,,,,,,0.38 cm2,,,,,,15,m,room temperature,95,37°C ,42 hours,fresh maintenance medium,tissues were rinsed with 25 ml pbs+,,,"maintenance culture media were kept frozen at -20°C for further IL-1α measurements. after the 42 hour incubation period, plates containing the treated epidermis were shaken and each epidermis unit was transferred to another 12-well plate containing 2 ml/well of dye solution (0.30 mg/ml mtt in assay medium), except for the negative control and the test item-treated epidermis without mtt which were transferred in another 12-well plate containing 2 ml/well fresh assay medium. after a 3 hour ± 15 minutes incubation period at 37.0 ± 1.5 °C, 5.0 ± 0.5% CO2 and 95% humidity, a biopsy of the entire epidermis was taken. for all tissues with the test item, the superficial epidermis layer (containing most of the remaining colour) was removed and discarded. the epidermis was separated from the collagen matrix and both were transferred into a tube containing 500 µl acidified isopropanol. formazan crystals were extracted during the weekend at 5°C protected from light. after homogenisation by using a vortex, the optical density was measured at 570 nm versus acidified isopropanol as blank and the % cell viability was calculated. IL-1α released in the culture medium was determined by a classic quantitative sandwich immunoassay technique. monoclonal specific IL-1α antibodies were pre-coated onto microplates. 200 µl of standards or samples were added in the wells enabling IL-1α to bind to immobilised antibody. after washing, an enzyme-linked polyclonal antibody specific to Il-1α was added to the wells. a substrate solution was added and the intensity of the colour developed was measured at 450 nm.",,2013,yes,,2,,,"positive control: 10µl of 50mg/ml aqueous solution of sodium dodecyl sulfate. negative control: 10µl of PBS+. one additional negative control which followed the same treatment as the negative control except the mtt incubation period was added. three additional tissues were used and followed the same treatment with the test item as the other tissues, except for the mtt incubation period. these tissues as well as the additional negative control were used as additional specific controls in order to quantify the non-specific colour due to the colouring of chemical interactions with the tissue.",guideline: ecvam validated protocol (ESAC statement 2007 on the validity of in vitro test for skin irritation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
